Particulars,2020,2021,2022,2025,2026
Revenue from operations,156949.0,164177.0,191754.0,255324.0,267021.0
Other income,4592.0,3134.0,4018.0,3962.0,4402.0
TOTAL INCOME,161541.0,167311.0,195772.0,259286.0,271423.0
Expenses,,,,,
Employee benefit expenses,85952.0,91814.0,107554.0,145788.0,154994.0
,,,,49386.0,52204.0
Earnings per equity share:- Basic and diluted (J),,,,134.19,136.01
Weighted average number of equity shares,,,,3618087518.0,3618087518.0
Total comprehensive income for the year attributable to:,,,,,
Other comprehensive income for the year attributable to:,,,,,
Deferred tax,-577.0,-437.0,-416.0,-376.0,-355.0
TOTAL TAX EXPENSE,9801.0,11198.0,13238.0,16534.0,16033.0
PROFIT FOR THE YEAR,32447.0,32562.0,38449.0,48797.0,49454.0
OTHER COMPREHENSIVE INCOME (OCI),,,,,
Items that will not be reclassified subsequently to profit or loss,,,,,
Remeasurement of defined employee benefit plans,,,,-106.0,482.0
Net change in fair values of investments in equity shares carried at fair value through OCI,,,,-24.0,35.0
Income tax on items that will not be reclassified subsequently to profit or loss,,,,18.0,-114.0
Items that will be reclassified subsequently to profit or loss,,,,,
Net change in fair values of investments other than equity shares carried at fair value through OCI,,,,593.0,-1066.0
Net change in intrinsic value of derivatives designated as cash flow hedges,,,,1.0,-9.0
Net change in time value of derivatives designated as cash flow hedges,,,,-9.0,
Exchange differences on translation of financial statements of foreign operations,,,,262.0,3149.0
Income tax on items that will be reclassified subsequently to profit or loss,,,,-146.0,273.0
TOTAL OTHER COMPREHENSIVE INCOME / (LOSSES),,,,589.0,2750.0
TOTAL COMPREHENSIVE INCOME FOR THE YEAR,,,,49386.0,52204.0
Profit for the year attributable to:,,,,,
Shareholders of the Company,,,,49124.0,51921.0
Non-controlling interests,,,,262.0,283.0
Integrated Annual Report 2021,,,,,
Current tax,10378.0,11635.0,13654.0,16910.0,16388.0
PROFIT BEFORE EXCEPTIONAL ITEM AND TAX,42248.0,44978.0,51687.0,,
Exceptional item,,,,,
Provision towards legal claim,,1218.0,,,1010.0
PROFIT BEFORE TAX,42248.0,43760.0,51687.0,65331.0,65487.0
Tax expense,,,,,
Cost of equipment and software licences,1905.0,1462.0,1163.0,11648.0,4399.0
Finance costs,924.0,637.0,784.0,796.0,1227.0
Depreciation and amortisation expense,3529.0,4065.0,4604.0,5242.0,5560.0
Other expenses,26983.0,24355.0,29980.0,30481.0,35230.0
TOTAL EXPENSES,119293.0,122333.0,144085.0,193955.0,201410.0
PROFIT BEFORE EXCEPTIONAL ITEMS AND TAX,,,,65331.0,70013.0
Exceptional items,,,,,
Re-structuring expenses,,,,,1388.0
Statutory impact of new Labour Codes,,,,,2128.0
